neuron_id,cell_type,observed,seed,teacher_rate_hz,student_rate_hz,fluctuation_r2
4032,inhibitory,0,44,21.040372670807454,22.515527950310556,0.9602479338645935
4033,excitatory,0,44,0.4658385093167702,0.5434782608695652,0.32708609104156494
4035,excitatory,0,44,3.804347826086956,3.6490683229813663,0.6427898406982422
4036,excitatory,0,44,0.8540372670807453,0.3881987577639751,0.7217310070991516
4037,excitatory,0,44,0.4658385093167702,0.3881987577639751,-0.2641998529434204
4038,excitatory,0,44,0.0,0.0,
4039,excitatory,0,44,0.0,0.0,
4040,excitatory,0,44,0.15527950310559005,0.5434782608695652,-7.929746627807617
4041,excitatory,0,44,0.0,0.0,
4042,excitatory,0,44,0.0,0.0,
4043,inhibitory,0,44,15.993788819875775,10.403726708074533,0.4730255603790283
4044,excitatory,0,44,0.5434782608695652,0.4658385093167702,0.7113863229751587
4045,excitatory,0,44,7.220496894409937,7.298136645962733,0.8311513662338257
4046,inhibitory,0,44,10.093167701863353,7.841614906832298,0.7687845826148987
4047,excitatory,0,44,3.260869565217391,3.027950310559006,0.8277421593666077
4048,excitatory,0,44,0.3105590062111801,0.07763975155279502,-0.23074686527252197
4049,excitatory,0,44,0.0,0.0,
4050,excitatory,0,44,0.0,0.0,
4051,inhibitory,0,44,0.6211180124223602,1.3975155279503104,-2.9996678829193115
4053,excitatory,0,44,0.0,0.0,
4054,inhibitory,0,44,0.0,0.0,
4055,excitatory,0,44,0.3105590062111801,0.3105590062111801,0.10378587245941162
4057,excitatory,0,44,0.6211180124223602,0.8540372670807453,0.6914703249931335
4058,inhibitory,0,44,5.512422360248447,7.298136645962733,0.32076138257980347
4059,excitatory,0,44,0.9316770186335404,0.2329192546583851,0.2616755962371826
4060,inhibitory,0,44,5.2018633540372665,5.822981366459627,0.3360525369644165
4061,excitatory,0,44,0.07763975155279502,0.0,-0.013905167579650879
4062,excitatory,0,44,5.512422360248447,5.900621118012422,0.931083083152771
4063,excitatory,0,44,25.0,22.43788819875776,0.9437921643257141
4065,excitatory,0,44,0.0,0.0,
4066,excitatory,0,44,0.2329192546583851,0.0,-0.04143261909484863
4067,excitatory,0,44,0.0,0.0,
4069,excitatory,0,44,0.0,0.0,
4070,inhibitory,0,44,11.956521739130434,11.41304347826087,0.1088075041770935
4071,excitatory,0,44,0.0,0.0,
4072,inhibitory,0,44,31.754658385093165,27.32919254658385,0.7834521532058716
4073,excitatory,0,44,39.20807453416149,44.254658385093165,0.48732513189315796
4074,excitatory,0,44,0.0,0.07763975155279502,
4075,excitatory,0,44,0.0,0.0,
4077,excitatory,0,44,0.07763975155279502,0.0,-0.0074579715728759766
4078,inhibitory,0,44,1.7080745341614907,2.329192546583851,0.00938504934310913
4079,excitatory,0,44,0.0,0.0,
4080,excitatory,0,44,0.0,0.0,
4081,excitatory,0,44,0.3105590062111801,0.2329192546583851,0.20360761880874634
4082,excitatory,0,44,0.0,0.0,
4084,inhibitory,0,44,49.76708074534161,47.43788819875776,0.5931576490402222
4086,inhibitory,0,44,0.0,0.0,
4088,inhibitory,0,44,8.385093167701863,4.503105590062112,0.23338651657104492
4090,excitatory,0,44,0.07763975155279502,0.07763975155279502,0.9997972249984741
4091,excitatory,0,44,0.3105590062111801,0.15527950310559005,0.4677165746688843
4092,excitatory,0,44,11.41304347826087,9.472049689440993,0.6219661235809326
4093,inhibitory,0,44,28.959627329192546,28.649068322981364,0.8441572189331055
4094,excitatory,0,44,0.0,0.0,
4096,excitatory,0,44,0.0,0.0,
4098,excitatory,0,44,0.07763975155279502,0.0,-0.01393747329711914
4099,excitatory,0,44,2.484472049689441,1.9409937888198756,0.47231948375701904
4101,inhibitory,0,44,72.28260869565217,63.81987577639751,0.5185624361038208
4102,excitatory,0,44,0.0,0.07763975155279502,
4103,inhibitory,0,44,0.5434782608695652,0.6211180124223602,0.19835758209228516
4105,inhibitory,0,44,0.0,0.0,
4106,excitatory,0,44,0.0,0.0,
4109,excitatory,0,44,0.0,0.0,
4110,excitatory,0,44,0.0,0.0,
4111,excitatory,0,44,0.15527950310559005,0.07763975155279502,0.4857906699180603
4112,excitatory,0,44,1.1645962732919255,1.2422360248447204,0.07630705833435059
4113,excitatory,0,44,8.229813664596273,4.813664596273291,0.10780012607574463
4114,excitatory,0,44,3.6490683229813663,4.3478260869565215,0.7112404704093933
4115,excitatory,0,44,0.7763975155279502,0.6987577639751552,0.8361657857894897
4116,excitatory,0,44,0.7763975155279502,0.5434782608695652,0.7905312776565552
4118,excitatory,0,44,25.232919254658384,23.4472049689441,0.608974814414978
4119,excitatory,0,44,0.0,0.0,
4120,excitatory,0,44,0.2329192546583851,0.2329192546583851,-0.26806211471557617
4121,excitatory,0,44,0.2329192546583851,0.15527950310559005,-0.04746890068054199
4122,excitatory,0,44,0.07763975155279502,0.0,-0.013934016227722168
4123,excitatory,0,44,0.0,0.0,
4124,excitatory,0,44,3.3385093167701863,3.183229813664596,0.38241952657699585
4125,excitatory,0,44,0.07763975155279502,0.0,-0.01350712776184082
4126,excitatory,0,44,0.0,0.0,
4127,excitatory,0,44,13.27639751552795,9.627329192546583,0.6961326599121094
4128,excitatory,0,44,0.0,0.0,
4129,excitatory,0,44,0.0,0.0,
4130,excitatory,0,44,0.0,0.0,
