# Cumulative fraction of synaptic input volume, largest presynaptic partners first.
# Per-cell curves resampled from original presynaptic partners count onto 390 inputs.
# Dense connectome 230219a-rsg11-std-spl-edges_ariadne-20260417T142327_run-20260417T143444_connectome-20260421T131207.hdf5; synapse score > 138.6; proofread cells only.
x_inputs_resampled,spiny_median,spiny_q25,spiny_q75,smooth_median,smooth_q25,smooth_q75
21,0.20417093441105627,0.19226530986664012,0.22780828482401078,0.2099393366979692,0.18512210864802114,0.261529688926055
22,0.21084058417657392,0.19908051709175795,0.23493146004940607,0.21885256539584563,0.19141617784319487,0.27078771093306186
23,0.21753515106923155,0.20551733035222086,0.241646584598451,0.22729442494479113,0.19772270661002755,0.2809401870036763
24,0.22402848293468017,0.21185286050610963,0.2487522077380702,0.2357362844937366,0.20389261407363146,0.2910926630742907
25,0.23043156742416226,0.2181011721141745,0.2552169806303957,0.24314652636322828,0.21002834756244754,0.3006644127222764
26,0.23664371540919,0.22426765759614298,0.2619701265092843,0.2516276757603604,0.21603954954476912,0.30993198163877
27,0.24302036997657056,0.23048741970685704,0.2686116427398677,0.2587715683990576,0.22280169546505196,0.3191995505552636
28,0.24915271242367742,0.23671176578515757,0.2749655659534961,0.26583918072595997,0.23003376445677662,0.32827637804774734
29,0.25507280469373494,0.24270343507365486,0.2813707923644666,0.27368380249968394,0.2369943457693589,0.3373027151632873
30,0.26116371643884534,0.24837252899533233,0.2871314809806704,0.2795850707057299,0.24392173056053895,0.3451783600337397
31,0.26719175403076667,0.2540908066751818,0.2926782694298592,0.28660904024944744,0.24982480867880258,0.35167434067027104
32,0.2729365673094907,0.25987006146191516,0.2982850941062344,0.2940834565032302,0.25622432823565094,0.35961879740585057
33,0.27853640185747597,0.26539365014998717,0.3038962670549754,0.301557872757013,0.26269702872435086,0.3679711161159945
34,0.284135928394598,0.2708352220790744,0.3097393771566703,0.3088582310021756,0.2690743212125375,0.37632343482613845
35,0.2899265484662798,0.27628608750650996,0.31568820154177024,0.3143309801568257,0.2754308618344474,0.3844108960032949
36,0.2955769195121619,0.28168761563910905,0.3217418513650139,0.3218091200689428,0.28169188747749846,0.3920821995888438
37,0.301036285998012,0.28715075334915546,0.32760551387112613,0.32923383573487547,0.28889595774034216,0.39975350317439284
38,0.3063592862215,0.2924165516988791,0.3332490718073652,0.33648405149992106,0.2962047519048855,0.40764790273406293
39,0.31182797477846635,0.2978602064931963,0.3391138124934924,0.34373426726496664,0.3025680715151431,0.41517480110077865
40,0.3171393566334877,0.30315300726000927,0.34502530759053807,0.35098448303001223,0.30780017890187983,0.42095223612871147
41,0.3223268524681743,0.3083128513280039,0.35108065440568176,0.35823469879505776,0.3128884795554929,0.4288230181647287
42,0.32747042680629046,0.313401059261259,0.35692219758495414,0.3649132350938009,0.3179534838978663,0.4360356081651512
43,0.332605627408529,0.31846505896190336,0.36256192417454564,0.37118734795367775,0.32299461980082594,0.44292315474592503
44,0.3378359436717757,0.323477506038864,0.3681159515101818,0.37794917456110005,0.32797085023861394,0.45028003579386267
45,0.3428274336371772,0.32843447443411183,0.37359358909626667,0.3847110011685223,0.33290558309105184,0.4576369168418003
46,0.3479861203635026,0.3333651392026378,0.3788425343616275,0.3905946480458085,0.3378132306865266,0.46499379788973794
47,0.3529389220022062,0.338274873865821,0.3838819185215291,0.3961096890001681,0.34246225513672546,0.4722172061836248
48,0.357820144847005,0.3431227592712957,0.38889412722896877,0.40162472995452764,0.34698909443687787,0.47799488540061746
49,0.3625411421682935,0.3479293206442955,0.3937640326261806,0.40713977090888726,0.35177601102279477,0.4841093346034929
50,0.36734274195540895,0.3526765204734567,0.3986894692979392,0.4126548118632468,0.3564252608097922,0.4907789936582704
51,0.37225295156760174,0.35731633317695854,0.4034538417711249,0.4181698528176064,0.3610089759359866,0.4970046504297651
52,0.3771632018305623,0.36194373299250004,0.4081430344022853,0.42368489377196594,0.3655476901661803,0.5030188775425538
53,0.3819979073895756,0.3664665088509662,0.4127422360027855,0.42919993472632556,0.3700578515008456,0.5090331046553425
54,0.38676798874031726,0.3710306046677951,0.4173185498446733,0.4347149756806851,0.37454462995804705,0.5150473317681312
55,0.39132850102122196,0.3756274197166956,0.42169545525574,0.4406965722215842,0.3790111545348263,0.5212627074510754
56,0.3958355595465075,0.3802911905993947,0.42580038150416516,0.4463158340002343,0.3834305308125223,0.5274772140956284
57,0.4003906116497751,0.38485652968687006,0.4298891035580421,0.45160881438833517,0.38779430188667785,0.5337867215443648
58,0.40484640597854055,0.3893827707556788,0.4345471473594875,0.456901794776436,0.39211299218706475,0.540239060389986
59,0.4092932973825901,0.39382982898716185,0.43951621999105084,0.4621947751645369,0.39640825222029585,0.546161537546578
60,0.41382155407186555,0.3981938360497095,0.4438242721645415,0.4674877555526378,0.40066903742613136,0.5519114942142853
61,0.418250811643221,0.4024891584149604,0.4479706995101274,0.47278073594073866,0.40546299291684373,0.5574674287597277
62,0.4226473501010355,0.4068253695983576,0.452105108115616,0.47807371632883955,0.4102272793422257,0.5630233633051698
