component,eigenvalue,variance_fraction,cumulative_fraction
261,0.0005298204242710762,0.0003638791338208835,0.9100653996048085
262,0.0005261998890006362,0.000361392560676807,0.9104267921654853
263,0.0005237057039182863,0.0003596795615816832,0.910786471727067
264,0.000518654100175093,0.00035621013475275624,0.9111426818618197
265,0.0005132316963905126,0.0003524860435286877,0.9114951679053483
266,0.00051151443199946,0.0003513066313155452,0.9118464745366639
267,0.0005086044616568686,0.0003493080721071806,0.9121957826087711
268,0.0005028062769978352,0.00034532589566623774,0.9125411085044374
269,0.0005012600984016903,0.00034426398468182895,0.9128853724891192
270,0.0004994456326116994,0.0003430178148292456,0.9132283903039484
271,0.0004980321985019676,0.0003420470723738756,0.9135704373763223
272,0.000494324083084142,0.0003395003494380759,0.9139099377257603
273,0.0004871934053822688,0.0003346030206322201,0.9142445407463926
274,0.00048674591572345764,0.0003342956860298102,0.9145788364324224
275,0.0004858029340515912,0.00033364804894703856,0.9149124844813695
276,0.0004814593054188374,0.0003306648573747232,0.9152431493387443
277,0.00047857564637857926,0.0003286843686926428,0.9155718337074369
278,0.0004749080736325295,0.0003261654903464678,0.9158979991977834
279,0.0004732119050770179,0.0003250005666921128,0.9162229997644755
280,0.00047084362695644133,0.00032337404013389645,0.9165463738046095
281,0.0004675869308256969,0.0003211373506578283,0.9168675111552673
282,0.00046396352043413374,0.00031864880288888644,0.9171861599581562
283,0.00046233221365888093,0.0003175284261174704,0.9175036883842737
284,0.0004610919681947174,0.000316676629122581,0.9178203650133963
285,0.00045790498617938823,0.0003144878190991921,0.9181348528324954
286,0.0004550690483598053,0.0003125401052133421,0.9184473929377087
287,0.00045347157533718365,0.00031144296536530103,0.9187588359030741
288,0.00045109302025869523,0.00030980938062213757,0.9190686452836961
289,0.0004478550558484189,0.0003075855560374678,0.9193762308397336
290,0.000446470389147188,0.0003066345709549887,0.9196828654106887
291,0.00044554395507849157,0.0003059982987181771,0.9199888637094068
292,0.0004415835579920418,0.0003032783094625973,0.9202921420188694
293,0.0004383240592902767,0.0003010396951888642,0.9205931817140584
294,0.0004363696561887633,0.0002996974167957766,0.9208928791308542
295,0.00043322530481984024,0.00029753788537694467,0.9211904170162311
296,0.00042988316995669395,0.0002952425168267658,0.9214856595330578
297,0.0004283462294041453,0.00029418695050395933,0.9217798464835618
298,0.00042406129890122776,0.0002912440726373134,0.9220710905561992
299,0.00042318380704445025,0.0002906414137699842,0.9223617319699692
300,0.0004209031859489286,0.0002890750898028518,0.922650807059772
301,0.0004183919567360429,0.00028735038484821034,0.9229381574446202
302,0.0004149718082510222,0.00028500143676833906,0.9232231588813885
303,0.0004141524700864777,0.0002844387176885093,0.923507597599077
304,0.00041186176914806405,0.0002828654709144548,0.9237904630699915
305,0.0004098268679496013,0.0002814679066613847,0.9240719309766529
306,0.00040635966926159885,0.0002790866446382926,0.9243510176212911
307,0.00040448106502461177,0.0002777964246859615,0.9246288140459771
308,0.0004024730304184001,0.0002764173123306839,0.9249052313583077
309,0.0004016262102349151,0.00027583571867979264,0.9251810670769876
310,0.00040004909275283236,0.0002747525589580745,0.9254558196359456
311,0.00039353647438595266,0.0002702797115145156,0.9257260993474601
312,0.0003927276004237373,0.0002697241792185568,0.9259958235266786
313,0.0003919041666371283,0.0002691586472773479,0.926264982173956
314,0.00039081402196376286,0.000268409939071111,0.9265333921130271
315,0.00038550127859420425,0.00026476116230266666,0.9267981532753298
316,0.00038480263563113904,0.00026428133633785985,0.9270624346116676
317,0.00038266122730175236,0.00026281062329555676,0.9273252452349632
318,0.0003808855773043297,0.00026159111201695673,0.9275868363469801
319,0.00037759377200985254,0.0002593303096688606,0.927846166656649
320,0.0003761166779782836,0.00025831584576343683,0.9281044825024124
321,0.00037337196723948734,0.00025643078637261376,0.928360913288785
322,0.000372070458512104,0.00025553691394587195,0.9286164502027309
323,0.00036975634272953106,0.0002539475859246233,0.9288703977886555
324,0.00036806744271578945,0.0002527876542837171,0.9291231854429393
325,0.00036667110871370996,0.0002518286561327863,0.9293750140990721
